Date,Gamma
1992-01-03,0.0
1992-01-10,0.0
1992-01-17,0.0
1992-01-24,0.0
1992-01-31,0.0
1992-02-07,0.0
1992-02-14,0.0
1992-02-21,0.0
1992-02-28,0.0
1992-03-06,0.0
1992-03-13,0.0
1992-03-20,0.0
1992-03-27,0.0
1992-04-03,0.0
1992-04-10,0.0
1992-04-17,0.0
1992-04-24,0.0
1992-05-01,0.0
1992-05-08,0.0
1992-05-15,0.0
1992-05-22,0.0
1992-05-29,0.0
1992-06-05,0.0
1992-06-12,0.0
1992-06-19,0.0
1992-06-26,0.0
1992-07-03,0.0
1992-07-10,0.0
1992-07-17,0.0
1992-07-24,0.0
1992-07-31,0.0
1992-08-07,0.0
1992-08-14,0.0
1992-08-21,0.0
1992-08-28,0.0
1992-09-04,0.0
1992-09-11,0.0
1992-09-18,0.0
1992-09-25,0.0
1992-10-02,0.0
1992-10-09,0.0
1992-10-16,0.0
1992-10-23,0.0
1992-10-30,0.0
1992-11-06,0.0
1992-11-13,0.0
1992-11-20,0.0
1992-11-27,-0.003171257555297017
1992-12-04,-0.017227866418866346
1992-12-11,0.033605093519592254
1992-12-18,0.02576874339584058
1992-12-25,-0.008754234506265484
1993-01-01,0.014060551975612177
1993-01-08,0.008916120532015532
1993-01-15,0.0024461489277744783
1993-01-22,-0.0030845196432729973
1993-01-29,-0.0026748753307149014
1993-02-05,-0.011859876364995406
1993-02-12,0.03700523699067992
1993-02-19,-0.009841915387650002
1993-02-26,0.003952982367181208
1993-03-05,0.013416836714484152
1993-03-12,0.01615144901373091
1993-03-19,0.03158808446649221
1993-03-26,-0.018128979162848887
1993-04-02,0.07093881568918667
1993-04-09,-0.010555106065844349
1993-04-16,-0.06760805741491743
1993-04-23,0.014479003440586764
1993-04-30,0.0025699592974921556
1993-05-07,-0.019581981562114412
1993-05-14,0.028292875395983474
1993-05-21,0.01633056649596741
1993-05-28,0.016297255165842555
1993-06-04,-0.0016954470076347543
1993-06-11,0.010192181089139043
1993-06-18,0.03145234050418763
1993-06-25,0.023169578317655964
1993-07-02,0.004985014546150428
1993-07-09,0.014945931650265705
1993-07-16,0.024086084240250834
1993-07-23,0.029730051365655215
1993-07-30,0.04094569985346529
1993-08-06,0.03511081191555319
1993-08-13,-0.033540531622878345
1993-08-20,0.00012249514762030855
1993-08-27,-0.002225988032238182
1993-09-03,0.019887408231000363
1993-09-10,0.0013206711734913207
1993-09-17,0.04466179021372346
1993-09-24,0.011578350124503553
1993-10-01,-0.020199442561361032
1993-10-08,-0.02595176523827468
1993-10-15,-0.03149640886005726
1993-10-22,-0.01774766279551892
1993-10-29,-0.04089889761034244
1993-11-05,0.016313223557136325
1993-11-12,-0.04792639677952729
1993-11-19,0.01954803268437456
1993-11-26,0.02660862450706577
1993-12-03,-0.013882709375473496
1993-12-10,-0.012105065414438489
1993-12-17,0.003699893218744338
1993-12-24,0.007077626604400292
1993-12-31,-0.019812786260216857
1994-01-07,0.02163758344395432
1994-01-14,-0.013924878164150422
1994-01-21,-0.00849251489968247
1994-01-28,-3.636152828786384e-05
1994-02-04,0.008752077505634781
1994-02-11,-0.0016333198018195032
1994-02-18,-0.01863348390815786
1994-02-25,0.013736650161534213
1994-03-04,0.010882293099016673
1994-03-11,0.001132388700610616
1994-03-18,-0.038028759424364546
1994-03-25,-0.027640308530261705
1994-04-01,0.04036768770800443
1994-04-08,-0.03614213047203915
1994-04-15,-0.009631367723120378
1994-04-22,0.030017527833310735
1994-04-29,-0.018071355237366055
1994-05-06,-0.022585701663613754
1994-05-13,0.0027857478679812206
1994-05-20,0.019639217031973185
1994-05-27,-0.017558611611919826
1994-06-03,-0.03711978757902125
1994-06-10,0.01676634246738257
1994-06-17,-0.030414766700840815
1994-06-24,0.0008945432506565139
1994-07-01,0.01812084338466898
1994-07-08,-0.010820716838821413
1994-07-15,-0.02374861971535528
1994-07-22,-0.013038457459230497
1994-07-29,0.009216722038442872
1994-08-05,0.0012578976064366273
1994-08-12,-0.00045793168597006674
1994-08-19,0.026231208232906613
1994-08-26,-0.0013139021355390245
1994-09-02,0.012355426206939229
1994-09-09,0.02149592597668233
1994-09-16,0.014886131432561376
1994-09-23,-0.007780991632196608
1994-09-30,-0.013927951450994932
1994-10-07,0.004230164179510643
