Date,Comomentum
1992-12-25,0.02282920560474027
1993-01-01,0.018051024615851556
1993-01-08,0.0134990981907823
1993-01-15,0.021015496387346212
1993-01-22,0.024004046031281038
1993-01-29,0.02258015466115889
1993-02-05,0.013991473695006727
1993-02-12,0.036589207815038216
1993-02-19,0.049944532478816694
1993-02-26,0.038036491387920555
1993-03-05,0.03410159914321905
1993-03-12,0.03683035045820257
1993-03-19,0.04448215275270776
1993-03-26,0.036399358322790454
1993-04-02,0.05009191148481009
1993-04-09,0.03168161882239055
1993-04-16,0.0402626915932017
1993-04-23,0.054974608837561965
1993-04-30,0.0573064708820856
1993-05-07,0.07466095148305249
1993-05-14,0.05973199175249919
1993-05-21,0.05422984446719015
1993-05-28,0.07289464140424501
1993-06-04,0.07308778578390238
1993-06-11,0.0644618650313705
1993-06-18,0.08669459064696769
1993-06-25,0.06802510793673185
1993-07-02,0.050200360501708514
1993-07-09,0.0543194966416761
1993-07-16,0.049149825968745495
1993-07-23,0.0734176730370017
1993-07-30,0.05749553737840063
1993-08-06,0.047965212795405235
1993-08-13,0.048557686165313196
1993-08-20,0.045612274596583735
1993-08-27,0.057679470071844874
1993-09-03,0.0750454163260165
1993-09-10,0.07994887583869192
1993-09-17,0.08156918659117898
1993-09-24,0.05334935429591908
1993-10-01,0.052322651301002346
1993-10-08,0.05143869464634865
1993-10-15,0.051836197459946554
1993-10-22,0.05323053378485036
1993-10-29,0.05071397126817369
1993-11-05,0.05970465317126735
1993-11-12,0.061840477544675566
1993-11-19,0.052628816692377005
1993-11-26,0.04880696474885561
1993-12-03,0.04580787708865625
1993-12-10,0.051817054594252426
1993-12-17,0.029350626020304964
1993-12-24,0.02940378990344494
1993-12-31,0.035095221791051
1994-01-07,0.05058250883369554
1994-01-14,0.05892311273500231
1994-01-21,0.03675500785043281
1994-01-28,0.03723794298356736
1994-02-04,0.027287623435319285
1994-02-11,0.032458736948487214
1994-02-18,0.030685569013391888
1994-02-25,0.02474423721094797
1994-03-04,0.028229464625180743
1994-03-11,0.017263953271440608
1994-03-18,0.025754824442093545
1994-03-25,0.036951887776809925
1994-04-01,0.027511168611409488
1994-04-08,0.024747786918769582
1994-04-15,0.020170809892697577
1994-04-22,0.017665849599818442
1994-04-29,0.029977423211730858
1994-05-06,0.02035949089273937
1994-05-13,0.029023830469337472
1994-05-20,0.02396824024299843
1994-05-27,0.02138428001515024
1994-06-03,0.021524368466713267
1994-06-10,0.032325784725848225
1994-06-17,0.030671110995545404
1994-06-24,0.027232571289689762
1994-07-01,0.021362899166321475
1994-07-08,0.03644128784575951
1994-07-15,0.038548214168743135
1994-07-22,0.04732172394733805
1994-07-29,0.03325668026421391
1994-08-05,0.024272388446646885
1994-08-12,0.018612139523609666
1994-08-19,0.02385027070946029
1994-08-26,0.022577636387043677
1994-09-02,0.03230731110681675
1994-09-09,0.027008718186963612
1994-09-16,0.042273007636652885
1994-09-23,0.02728374633078689
1994-09-30,0.02725682345335819
1994-10-07,0.027316327697462357
1994-10-14,0.012287444039963211
1994-10-21,0.015300780304404652
1994-10-28,0.00926962745177099
1994-11-04,0.023583544407397863
1994-11-11,0.015764078373386295
1994-11-18,0.015756926918175814
1994-11-25,0.015957494203840128
1994-12-02,0.022301779787895826
1994-12-09,0.02157909528159039
1994-12-16,0.03292163171066634
1994-12-23,0.029038924049375407
1994-12-30,0.039922366697086854
1995-01-06,0.03943758825363823
1995-01-13,0.024839308180203072
1995-01-20,0.01372824971114762
1995-01-27,0.019324198098613524
1995-02-03,0.018689408169945052
1995-02-10,0.013268866240090906
1995-02-17,0.017084872808102176
1995-02-24,0.02014816489013606
1995-03-03,0.023236883450291027
1995-03-10,0.02904354262197669
1995-03-17,0.04058289936754831
1995-03-24,0.030696866424238224
1995-03-31,0.03549625457079267
1995-04-07,0.04618442951416374
1995-04-14,0.040571885886387354
1995-04-21,0.03747905451813267
1995-04-28,0.021638952104071345
1995-05-05,0.032769076714497816
1995-05-12,0.03878698286986184
1995-05-19,0.05673525668260363
1995-05-26,0.07836139748725593
1995-06-02,0.0749275432457788
1995-06-09,0.06749871238431607
1995-06-16,0.07766635083404626
1995-06-23,0.06739255112318973
1995-06-30,0.07774815599284127
1995-07-07,0.09459558815632396
1995-07-14,0.07029372074695946
1995-07-21,0.08016701449046694
1995-07-28,0.08163781087847838
1995-08-04,0.08400095612628945
1995-08-11,0.102997187583176
1995-08-18,0.09702187900546999
1995-08-25,0.0801167853306677
1995-09-01,0.08145552488923227
1995-09-08,0.08630308085894255
1995-09-15,0.1183520552113805
1995-09-22,0.0996612946903409
1995-09-29,0.07999567044585508
1995-10-06,0.09223417914954242
1995-10-13,0.07765096370669188
1995-10-20,0.06927500644380305
1995-10-27,0.06485155062398862
1995-11-03,0.055643505673778695
1995-11-10,0.061092689199351735
1995-11-17,0.07960626328375103
1995-11-24,0.0892335648468998
1995-12-01,0.06571757601224588
1995-12-08,0.07566777160283017
1995-12-15,0.07062386747711377
1995-12-22,0.058147243330009715
1995-12-29,0.05440106407029949
1996-01-05,0.07296862176437492
1996-01-12,0.044780285680796623
1996-01-19,0.06704304987364179
1996-01-26,0.05556273687282928
1996-02-02,0.046028730153840416
1996-02-09,0.04628321246555492
1996-02-16,0.06784586124610033
1996-02-23,0.05940384788491096
1996-03-01,0.06224800090049826
1996-03-08,0.071943389421865
1996-03-15,0.06665133883742677
1996-03-22,0.0645997317260524
1996-03-29,0.05898888724724975
1996-04-05,0.04309271325592016
1996-04-12,0.037973323654880105
1996-04-19,0.05219155492283785
